Month,Tweets,Retweet,Fav,Sentiment,Polairty
Apr,82,103339,205948,Neutral,0
May,142,211521,391890,Neutral,0
Jun,202,1058802,2012846,Neutral,0
Jul,385,1081104,2012846,Neutral,0
Aug,183,519781,2609688,Neutral,0
Sep,245,1163648,1181582,Neutral,0
Apr,30,43051,87728,Negative,-0.295190697
May,59,108809,215347,Negative,-0.267233139
Jun,82,293757,619011,Negative,-0.294767855
Jul,154,365353,893161,Negative,-0.27317121
Aug,80,197360,445083,Negative,-0.243690995
Sep,119,392576,779321,Negative,-0.214670977
Apr,94,117249,270977,Positive,0.326353946
May,158,244456,535261,Positive,0.334479876
Jun,236,676530,1680158,Positive,0.350775888
Jul,399,1131639,2999098,Positive,0.367231528
Aug,256,717485,1845730,Positive,0.365582815
Sep,318,1192921,2550694,Positive,0.321142098
